time_s,channel_MHz,signal_dBm,noise_dBm,SNR_dB,BER,AvgSNR(dB),AvgBER,RandSeed,RunDateTime
0.124091,5210.000000,-80.629054,-93.965985,13.336932,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124091,5210.000000,-79.685354,-93.965985,14.280631,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124091,5210.000000,-75.206081,-93.965985,18.759904,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124091,5210.000000,-73.072182,-93.965985,20.893803,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124091,5210.000000,-69.976640,-93.965985,23.989346,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124385,5210.000000,-74.483256,-93.965985,19.482729,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124385,5210.000000,-76.112721,-93.965985,17.853265,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124385,5210.000000,-77.926233,-93.965985,16.039752,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124385,5210.000000,-78.692584,-93.965985,15.273401,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124385,5210.000000,-76.637649,-93.965985,17.328336,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124385,5210.000000,-73.485092,-93.965985,20.480894,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124385,5210.000000,-73.740751,-93.965985,20.225235,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124445,5210.000000,-74.140528,-93.965985,19.825458,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124445,5210.000000,-77.540654,-93.965985,16.425331,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124445,5210.000000,-76.543466,-93.965985,17.422519,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124445,5210.000000,-79.159913,-93.965985,14.806072,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124445,5210.000000,-73.310569,-93.965985,20.655416,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124445,5210.000000,-78.518959,-93.965985,15.447026,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124685,5210.000000,-75.888218,-93.965985,18.077767,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124685,5210.000000,-78.606398,-93.965985,15.359587,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124685,5210.000000,-78.911802,-93.965985,15.054184,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124685,5210.000000,-72.209495,-93.965985,21.756490,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124685,5210.000000,-75.206887,-93.965985,18.759099,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124685,5210.000000,-72.757992,-93.965985,21.207993,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124685,5210.000000,-79.975389,-93.965985,13.990597,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124745,5210.000000,-74.137212,-93.965985,19.828773,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124745,5210.000000,-75.328441,-93.965985,18.637544,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124745,5210.000000,-78.874695,-93.965985,15.091290,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124745,5210.000000,-75.141239,-93.965985,18.824746,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124745,5210.000000,-78.493266,-93.965985,15.472719,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124745,5210.000000,-77.213904,-93.965985,16.752081,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124745,5210.000000,-74.184878,-93.965985,19.781107,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124745,5210.000000,-77.433433,-93.965985,16.532553,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124985,5210.000000,-76.378464,-93.965985,17.587521,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124985,5210.000000,-81.620849,-93.965985,12.345136,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124985,5210.000000,-75.921318,-93.965985,18.044668,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124985,5210.000000,-79.728605,-93.965985,14.237381,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124985,5210.000000,-78.584024,-93.965985,15.381961,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124985,5210.000000,-75.991042,-93.965985,17.974943,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.124985,5210.000000,-73.914963,-93.965985,20.051022,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.125279,5210.000000,-78.087599,-93.965985,15.878386,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
